category,meta,meta,meta,commod,commod,commod,signals int,actions,actions,actions,actions,actions,clock,clock,clock,clock,utils,utils,utils,utils,utils
series,id_agent, state,action picked,hunger,energy,fun,drowsy,bored,sleep,eat,work,watch tv,ts,period - day,period - week,period - year,bored,sleep,eat,work,watch tv
0,1,eat,eat,74.0,99.0,100.0,-1,0,0,1,0,0,2024-01-01 00:00:00,NIGHT,MONDAY,WINTER,0.3,0.0,0.5464466094067263,-1,0.0
1,1,eat,eat,98.0,98.0,100.0,-1,0,0,1,0,0,2024-01-01 00:15:00,NIGHT,MONDAY,WINTER,0.3,0.0,0.46342793023884565,-1,0.0
2,1,bored,bored,97.0,97.0,100.0,-1,1,0,0,0,0,2024-01-01 00:30:00,NIGHT,MONDAY,WINTER,0.3,0.0,0.1298494962120568,-1,0.0
3,1,bored,bored,96.0,96.0,100.0,-1,1,0,0,0,0,2024-01-01 00:45:00,NIGHT,MONDAY,WINTER,0.3,0.0,-0.05533920677422213,-1,0.0
4,1,bored,bored,95.0,95.0,100.0,-1,1,0,0,0,0,2024-01-01 01:00:00,NIGHT,MONDAY,WINTER,0.3,0.0,-0.0406040612287403,-1,0.0
5,1,bored,bored,94.0,94.0,100.0,-1,1,0,0,0,0,2024-01-01 01:15:00,NIGHT,MONDAY,WINTER,0.3,0.0,-0.02594546275685153,-1,0.0
6,1,bored,bored,93.0,93.0,100.0,-1,1,0,0,0,0,2024-01-01 01:30:00,NIGHT,MONDAY,WINTER,0.3,0.0,-0.01136381319426974,-1,0.0
7,1,bored,bored,92.0,92.0,100.0,-1,1,0,0,0,0,2024-01-01 01:45:00,NIGHT,MONDAY,WINTER,0.3,0.0,0.0031404792276551186,-1,0.0
8,1,bored,bored,91.0,91.0,100.0,-1,1,0,0,0,0,2024-01-01 02:00:00,NIGHT,MONDAY,WINTER,0.3,0.0,0.01756699971045958,-1,0.0
9,1,bored,bored,90.0,90.0,100.0,-1,1,0,0,0,0,2024-01-01 02:15:00,NIGHT,MONDAY,WINTER,0.3,0.0,0.03191532671057937,-1,0.0
10,1,bored,bored,89.0,89.0,100.0,-1,1,0,0,0,0,2024-01-01 02:30:00,NIGHT,MONDAY,WINTER,0.3,0.0,0.04618503175453756,-1,0.0
11,1,bored,bored,88.0,88.0,100.0,-1,1,0,0,0,0,2024-01-01 02:45:00,NIGHT,MONDAY,WINTER,0.3,0.0,0.06037567924696227,-1,0.0
12,1,bored,bored,87.0,87.0,100.0,-1,1,0,0,0,0,2024-01-01 03:00:00,NIGHT,MONDAY,WINTER,0.3,0.0,0.07448682627107636,-1,0.0
13,1,bored,bored,86.0,86.0,100.0,-1,1,0,0,0,0,2024-01-01 03:15:00,NIGHT,MONDAY,WINTER,0.3,0.0,0.08851802238127313,-1,0.0
14,1,bored,bored,85.0,85.0,100.0,-1,1,0,0,0,0,2024-01-01 03:30:00,NIGHT,MONDAY,WINTER,0.3,0.0,0.10246880938736944,-1,0.0
15,1,bored,bored,84.0,84.0,100.0,-1,1,0,0,0,0,2024-01-01 03:45:00,NIGHT,MONDAY,WINTER,0.3,0.0,0.11633872113010466,-1,0.0
16,1,bored,bored,83.0,83.0,100.0,-1,1,0,0,0,0,2024-01-01 04:00:00,NIGHT,MONDAY,WINTER,0.3,0.0,0.13012728324741893,-1,0.0
17,1,bored,bored,82.0,82.0,100.0,-1,1,0,0,0,0,2024-01-01 04:15:00,NIGHT,MONDAY,WINTER,0.3,0.0,0.14383401293102324,-1,0.0
18,1,bored,bored,81.0,81.0,100.0,-1,1,0,0,0,0,2024-01-01 04:30:00,NIGHT,MONDAY,WINTER,0.3,0.0,0.1574584186727319,-1,0.0
19,1,bored,bored,80.0,80.0,100.0,-1,1,0,0,0,0,2024-01-01 04:45:00,NIGHT,MONDAY,WINTER,0.3,0.0,0.1709999999999999,-1,0.0
20,1,bored,bored,79.0,79.0,100.0,-1,1,0,0,0,0,2024-01-01 05:00:00,NIGHT,MONDAY,WINTER,0.3,0.0,0.18445824720006718,-1,0.0
21,1,bored,bored,78.0,78.0,100.0,-1,1,0,0,0,0,2024-01-01 05:15:00,NIGHT,MONDAY,WINTER,0.3,0.0,0.1978326410320684,-1,0.0
22,1,bored,bored,77.0,77.0,100.0,-1,1,0,0,0,0,2024-01-01 05:30:00,NIGHT,MONDAY,WINTER,0.3,0.0,0.2111226524264279,-1,0.0
