category,meta,meta,commod,commod,commod,commod,commod,signals int,actions,actions,actions,actions,actions,actions,actions,scores,scores,scores,scores,scores,scores,clock,clock,clock,clock,clock,clock,clock,clock,clock,clock,utils,utils,utils,utils,utils,utils,utils
series, state,action picked,hunger,energy,fun,hygiene_self,hygiene_env,drowsy,bored,sleep,eat,work,relax,cleanup,wash,hunger,energy,fun,hygiene_self,hygiene_env,total,ts,ts - time,ts - hour,duration - m,week number,date,period - day,period - week,period - year,type_day,bored,sleep,eat,work,relax,cleanup,wash
0,bored,bored,99.0,99.0,99.75,99.0,99.85,-1,1,0,0,0,0,0,0,0.99,0.99,0.9975,0.99,0.9984999999999999,0.992725,2024-01-01 00:00:00,00:00:00,2024-01-01 00:00:00,15,1,2024-01-01,NIGHT,MONDAY,WINTER,work,0.2601997085343508,0.0,-0.8320181096126544,-1,-0.6538446169347136,-0.290413560483187,-0.42904118170635136
1,bored,bored,98.0,98.0,99.5,98.0,99.69999999999999,-1,1,0,0,0,0,0,0,0.98,0.98,0.995,0.98,0.9969999999999999,0.98545,2024-01-01 00:15:00,00:15:00,2024-01-01 01:00:00,15,1,2024-01-01,NIGHT,MONDAY,WINTER,work,0.2601997085343508,0.0,-0.8213281168091636,-1,-0.6502930166809466,-0.28859849244145774,-0.42144970517862185
2,bored,bored,97.0,97.0,99.25,97.0,99.54999999999998,-1,1,0,0,0,0,0,0,0.97,0.97,0.9925,0.97,0.9954999999999998,0.9781749999999999,2024-01-01 00:30:00,00:30:00,2024-01-01 01:00:00,15,1,2024-01-01,NIGHT,MONDAY,WINTER,work,0.2601997085343508,0.0,-0.8106456122046055,-1,-0.6467451653421412,-0.286783997558965,-0.41383966612286277
3,bored,bored,96.0,96.0,99.0,96.0,99.39999999999998,-1,1,0,0,0,0,0,0,0.96,0.96,0.99,0.96,0.9939999999999998,0.9709,2024-01-01 00:45:00,00:45:00,2024-01-01 01:00:00,15,1,2024-01-01,NIGHT,MONDAY,WINTER,work,0.2601997085343508,0.0,-0.7999706668857864,-1,-0.6432010683655829,-0.2849700765166353,-0.4062108290319664
4,bored,bored,95.0,95.0,98.75,95.0,99.24999999999997,-1,1,0,0,0,0,0,0,0.95,0.95,0.9875,0.95,0.9924999999999997,0.963625,2024-01-01 01:00:00,01:00:00,2024-01-01 01:00:00,15,1,2024-01-01,NIGHT,MONDAY,WINTER,work,0.2601997085343508,0.0,-0.7893033533539506,-1,-0.6396607312202054,-0.28315672999723096,-0.3985629529489417
5,bored,bored,94.0,94.0,98.5,94.0,99.09999999999997,-1,1,0,0,0,0,0,0,0.94,0.94,0.985,0.94,0.9909999999999997,0.9563499999999999,2024-01-01 01:15:00,01:15:00,2024-01-01 02:00:00,15,1,2024-01-01,NIGHT,MONDAY,WINTER,work,0.2601997085343508,0.0,-0.7786437455679461,-1,-0.6361241593967326,-0.28134395868535833,-0.39089579128263624
6,bored,bored,93.0,93.0,98.25,93.0,98.94999999999996,-1,1,0,0,0,0,0,0,0.93,0.93,0.9825,0.93,0.9894999999999996,0.949075,2024-01-01 01:30:00,01:30:00,2024-01-01 02:00:00,15,1,2024-01-01,NIGHT,MONDAY,WINTER,work,0.2601997085343508,0.0,-0.7679919189891781,-1,-0.6325913584078202,-0.2795317632674752,-0.3832090916152187
7,bored,bored,92.0,92.0,98.0,92.0,98.79999999999995,-1,1,0,0,0,0,0,0,0.92,0.92,0.98,0.92,0.9879999999999995,0.9418,2024-01-01 01:45:00,01:45:00,2024-01-01 02:00:00,15,1,2024-01-01,NIGHT,MONDAY,WINTER,work,0.2601997085343508,0.0,-0.757347950628439,-1,-0.6290623337881996,-0.27772014443189863,-0.37550259550096104
8,bored,bored,91.0,91.0,97.75,91.0,98.64999999999995,-1,1,0,0,0,0,0,0,0.91,0.91,0.9775,0.91,0.9864999999999995,0.934525,2024-01-01 02:00:00,02:00:00,2024-01-01 02:00:00,15,1,2024-01-01,NIGHT,MONDAY,WINTER,work,0.2601997085343508,0.0,-0.7467119190947191,-1,-0.6255370910948218,-0.2759091028688131,-0.36777603825583177
9,bored,bored,90.0,90.0,97.5,90.0,98.49999999999994,-1,1,0,0,0,0,0,0,0.9,0.9,0.975,0.9,0.9849999999999994,0.9272499999999999,2024-01-01 02:15:00,02:15:00,2024-01-01 03:00:00,15,1,2024-01-01,NIGHT,MONDAY,WINTER,work,0.2601997085343508,0.0,-0.7360839046461018,-1,-0.6220156359070048,-0.274098639270278,-0.3600291487373734
10,bored,bored,89.0,89.0,97.25,89.0,98.34999999999994,-1,1,0,0,0,0,0,0,0.89,0.89,0.9725,0.89,0.9834999999999994,0.9199749999999999,2024-01-01 02:30:00,02:30:00,2024-01-01 03:00:00,15,1,2024-01-01,NIGHT,MONDAY,WINTER,work,0.2601997085343508,0.0,-0.7254639892428558,-1,-0.6184979738265796,-0.2722887543302356,-0.35226164911430563
